# generated from DICOM standard 2024c
# columns are in the same order as parameters to the DicomTag constructor
# eg. tag;name;varName;vr;isMultiVrTag;vmLow;vmHigh;isRetired
#
524289;Length to End;LengthToEnd;UL;False;1;1;True
524293;Specific Character Set;SpecificCharacterSet;CS;False;1;4294967295;False
524294;Language Code Sequence;LanguageCodeSequence;SQ;False;1;1;False
524296;Image Type;ImageType;CS;False;2;4294967295;False
524304;Recognition Code;RecognitionCode;SH;False;1;1;True
524306;Instance Creation Date;InstanceCreationDate;DA;False;1;1;False
524307;Instance Creation Time;InstanceCreationTime;TM;False;1;1;False
524308;Instance Creator UID;InstanceCreatorUID;UI;False;1;1;False
524309;Instance Coercion DateTime;InstanceCoercionDateTime;DT;False;1;1;False
524310;SOP Class UID;SOPClassUID;UI;False;1;1;False
524311;Acquisition UID;AcquisitionUID;UI;False;1;1;False
524312;SOP Instance UID;SOPInstanceUID;UI;False;1;1;False
524313;Pyramid UID;PyramidUID;UI;False;1;1;False
524314;Related General SOP Class UID;RelatedGeneralSOPClassUID;UI;False;1;4294967295;False
524315;Original Specialized SOP Class UID;OriginalSpecializedSOPClassUID;UI;False;1;1;False
524316;Synthetic Data;SyntheticData;CS;False;1;1;False
524320;Study Date;StudyDate;DA;False;1;1;False
524321;Series Date;SeriesDate;DA;False;1;1;False
524322;Acquisition Date;AcquisitionDate;DA;False;1;1;False
524323;Content Date;ContentDate;DA;False;1;1;False
524324;Overlay Date;OverlayDate;DA;False;1;1;True
524325;Curve Date;CurveDate;DA;False;1;1;True
524330;Acquisition DateTime;AcquisitionDateTime;DT;False;1;1;False
524336;Study Time;StudyTime;TM;False;1;1;False
524337;Series Time;SeriesTime;TM;False;1;1;False
524338;Acquisition Time;AcquisitionTime;TM;False;1;1;False
524339;Content Time;ContentTime;TM;False;1;1;False
524340;Overlay Time;OverlayTime;TM;False;1;1;True
524341;Curve Time;CurveTime;TM;False;1;1;True
524352;Data Set Type;DataSetType;US;False;1;1;True
524353;Data Set Subtype;DataSetSubtype;LO;False;1;1;True
524354;Nuclear Medicine Series Type;NuclearMedicineSeriesType;CS;False;1;1;True
524368;Accession Number;AccessionNumber;SH;False;1;1;False
524369;Issuer of Accession Number Sequence;IssuerOfAccessionNumberSequence;SQ;False;1;1;False
524370;Query/Retrieve Level;QueryRetrieveLevel;CS;False;1;1;False
524371;Query/Retrieve View;QueryRetrieveView;CS;False;1;1;False
524372;Retrieve AE Title;RetrieveAETitle;AE;False;1;4294967295;False
524373;Station AE Title;StationAETitle;AE;False;1;1;False
524374;Instance Availability;InstanceAvailability;CS;False;1;1;False
524376;Failed SOP Instance UID List;FailedSOPInstanceUIDList;UI;False;1;4294967295;False
524384;Modality;Modality;CS;False;1;1;False
524385;Modalities in Study;ModalitiesInStudy;CS;False;1;4294967295;False
524386;SOP Classes in Study;SOPClassesInStudy;UI;False;1;4294967295;False
524387;Anatomic Regions in Study Code Sequence;AnatomicRegionsInStudyCodeSequence;SQ;False;1;1;False
524388;Conversion Type;ConversionType;CS;False;1;1;False
524392;Presentation Intent Type;PresentationIntentType;CS;False;1;1;False
524400;Manufacturer;Manufacturer;LO;False;1;1;False
524416;Institution Name;InstitutionName;LO;False;1;1;False
524417;Institution Address;InstitutionAddress;ST;False;1;1;False
524418;Institution Code Sequence;InstitutionCodeSequence;SQ;False;1;1;False
524432;Referring Physician's Name;ReferringPhysicianName;PN;False;1;1;False
524434;Referring Physician's Address;ReferringPhysicianAddress;ST;False;1;1;False
524436;Referring Physician's Telephone Numbers;ReferringPhysicianTelephoneNumbers;SH;False;1;4294967295;False
524438;Referring Physician Identification Sequence;ReferringPhysicianIdentificationSequence;SQ;False;1;1;False
524444;Consulting Physician's Name;ConsultingPhysicianName;PN;False;1;4294967295;False
524445;Consulting Physician Identification Sequence;ConsultingPhysicianIdentificationSequence;SQ;False;1;1;False
524544;Code Value;CodeValue;SH;False;1;1;False
524545;Extended Code Value;ExtendedCodeValue;LO;False;1;1;False
524546;Coding Scheme Designator;CodingSchemeDesignator;SH;False;1;1;False
524547;Coding Scheme Version;CodingSchemeVersion;SH;False;1;1;False
524548;Code Meaning;CodeMeaning;LO;False;1;1;False
524549;Mapping Resource;MappingResource;CS;False;1;1;False
524550;Context Group Version;ContextGroupVersion;DT;False;1;1;False
524551;Context Group Local Version;ContextGroupLocalVersion;DT;False;1;1;False
524552;Extended Code Meaning;ExtendedCodeMeaning;LT;False;1;1;False
524553;Coding Scheme Resources Sequence;CodingSchemeResourcesSequence;SQ;False;1;1;False
524554;Coding Scheme URL Type;CodingSchemeURLType;CS;False;1;1;False
524555;Context Group Extension Flag;ContextGroupExtensionFlag;CS;False;1;1;False
524556;Coding Scheme UID;CodingSchemeUID;UI;False;1;1;False
524557;Context Group Extension Creator UID;ContextGroupExtensionCreatorUID;UI;False;1;1;False
524558;Coding Scheme URL;CodingSchemeURL;UR;False;1;1;False
524559;Context Identifier;ContextIdentifier;CS;False;1;1;False
524560;Coding Scheme Identification Sequence;CodingSchemeIdentificationSequence;SQ;False;1;1;False
524562;Coding Scheme Registry;CodingSchemeRegistry;LO;False;1;1;False
524564;Coding Scheme External ID;CodingSchemeExternalID;ST;False;1;1;False
524565;Coding Scheme Name;CodingSchemeName;ST;False;1;1;False
524566;Coding Scheme Responsible Organization;CodingSchemeResponsibleOrganization;ST;False;1;1;False
524567;Context UID;ContextUID;UI;False;1;1;False
524568;Mapping Resource UID;MappingResourceUID;UI;False;1;1;False
524569;Long Code Value;LongCodeValue;UC;False;1;1;False
524576;URN Code Value;URNCodeValue;UR;False;1;1;False
524577;Equivalent Code Sequence;EquivalentCodeSequence;SQ;False;1;1;False
524578;Mapping Resource Name;MappingResourceName;LO;False;1;1;False
524579;Context Group Identification Sequence;ContextGroupIdentificationSequence;SQ;False;1;1;False
524580;Mapping Resource Identification Sequence;MappingResourceIdentificationSequence;SQ;False;1;1;False
524801;Timezone Offset From UTC;TimezoneOffsetFromUTC;SH;False;1;1;False
524832;Responsible Group Code Sequence;ResponsibleGroupCodeSequence;SQ;False;1;1;False
524833;Equipment Modality;EquipmentModality;CS;False;1;1;False
524834;Manufacturer's Related Model Group;ManufacturerRelatedModelGroup;LO;False;1;1;False
525056;Private Data Element Characteristics Sequence;PrivateDataElementCharacteristicsSequence;SQ;False;1;1;False
525057;Private Group Reference;PrivateGroupReference;US;False;1;1;False
525058;Private Creator Reference;PrivateCreatorReference;LO;False;1;1;False
525059;Block Identifying Information Status;BlockIdentifyingInformationStatus;CS;False;1;1;False
525060;Nonidentifying Private Elements;NonidentifyingPrivateElements;US;False;1;4294967295;False
525061;Deidentification Action Sequence;DeidentificationActionSequence;SQ;False;1;1;False
525062;Identifying Private Elements;IdentifyingPrivateElements;US;False;1;4294967295;False
525063;Deidentification Action;DeidentificationAction;CS;False;1;1;False
525064;Private Data Element;PrivateDataElement;US;False;1;1;False
525065;Private Data Element Value Multiplicity;PrivateDataElementValueMultiplicity;UL;False;1;3;False
525066;Private Data Element Value Representation;PrivateDataElementValueRepresentation;CS;False;1;1;False
525067;Private Data Element Number of Items;PrivateDataElementNumberOfItems;UL;False;1;2;False
525068;Private Data Element Name;PrivateDataElementName;UC;False;1;1;False
525069;Private Data Element Keyword;PrivateDataElementKeyword;UC;False;1;1;False
525070;Private Data Element Description;PrivateDataElementDescription;UT;False;1;1;False
525071;Private Data Element Encoding;PrivateDataElementEncoding;UT;False;1;1;False
525072;Private Data Element Definition Sequence;PrivateDataElementDefinitionSequence;SQ;False;1;1;False
525312;Scope of Inventory Sequence;ScopeOfInventorySequence;SQ;False;1;1;False
525313;Inventory Purpose;InventoryPurpose;LT;False;1;1;False
525314;Inventory Instance Description;InventoryInstanceDescription;LT;False;1;1;False
525315;Inventory Level;InventoryLevel;CS;False;1;1;False
525316;Item Inventory DateTime;ItemInventoryDateTime;DT;False;1;1;False
525317;Removed from Operational Use;RemovedFromOperationalUse;CS;False;1;1;False
525318;Reason for Removal Code Sequence;ReasonForRemovalCodeSequence;SQ;False;1;1;False
525319;Stored Instance Base URI;StoredInstanceBaseURI;UR;False;1;1;False
525320;Folder Access URI;FolderAccessURI;UR;False;1;1;False
525321;File Access URI;FileAccessURI;UR;False;1;1;False
525322;Container File Type;ContainerFileType;CS;False;1;1;False
525323;Filename in Container;FilenameInContainer;UR;False;1;1;False
525324;File Offset in Container;FileOffsetInContainer;UV;False;1;1;False
525325;File Length in Container;FileLengthInContainer;UV;False;1;1;False
525326;Stored Instance Transfer Syntax UID;StoredInstanceTransferSyntaxUID;UI;False;1;1;False
525327;Extended Matching Mechanisms;ExtendedMatchingMechanisms;CS;False;1;4294967295;False
525328;Range Matching Sequence;RangeMatchingSequence;SQ;False;1;1;False
525329;List of UID Matching Sequence;ListOfUIDMatchingSequence;SQ;False;1;1;False
525330;Empty Value Matching Sequence;EmptyValueMatchingSequence;SQ;False;1;1;False
525331;General Matching Sequence;GeneralMatchingSequence;SQ;False;1;1;False
525332;Requested Status Interval;RequestedStatusInterval;US;False;1;1;False
525333;Retain Instances;RetainInstances;CS;False;1;1;False
525334;Expiration DateTime;ExpirationDateTime;DT;False;1;1;False
525335;Transaction Status;TransactionStatus;CS;False;1;1;False
525336;Transaction Status Comment;TransactionStatusComment;LT;False;1;1;False
525337;File Set Access Sequence;FileSetAccessSequence;SQ;False;1;1;False
525338;File Access Sequence;FileAccessSequence;SQ;False;1;1;False
525339;Record Key;RecordKey;OB;False;1;1;False
525340;Prior Record Key;PriorRecordKey;OB;False;1;1;False
525341;Metadata Sequence;MetadataSequence;SQ;False;1;1;False
525342;Updated Metadata Sequence;UpdatedMetadataSequence;SQ;False;1;1;False
525343;Study Update DateTime;StudyUpdateDateTime;DT;False;1;1;False
525344;Inventory Access End Points Sequence;InventoryAccessEndPointsSequence;SQ;False;1;1;False
525345;Study Access End Points Sequence;StudyAccessEndPointsSequence;SQ;False;1;1;False
525346;Incorporated Inventory Instance Sequence;IncorporatedInventoryInstanceSequence;SQ;False;1;1;False
